#t:   	x:        	y:        	z:        
6.550	-0.00225830	-0.00531006	0.00036621
6.575	-0.00183105	-0.00497437	0.00061035
6.600	-0.00152588	-0.00497437	0.00015259
6.625	-0.00054932	-0.00717163	0.00039673
6.650	-0.00216675	-0.01171875	0.00097656
6.675	-0.00369263	-0.01211548	0.00088501
6.700	-0.00335693	-0.01150513	0.00106812
6.725	-0.00259399	-0.00939941	0.00149536
6.750	-0.00259399	-0.00668335	0.00027466
6.775	-0.00210571	-0.00479126	0.00106812
6.800	-0.00167847	-0.00469971	-0.00747681
6.825	-0.00173950	-0.00656128	0.00021362
6.850	-0.00177002	-0.00924683	0.00021362
6.875	-0.00030518	-0.01098633	0.00030518
6.900	-0.00253296	-0.01403809	0.00097656
6.925	-0.00390625	-0.01126099	0.00152588
6.950	-0.00366211	-0.01068115	0.00152588
6.975	-0.00283813	-0.00769043	0.00079346
7.000	-0.00216675	-0.00521851	0.00070190
7.025	-0.00170898	-0.00451660	0.00030518
7.050	-0.00152588	-0.00552368	0.00003052
7.075	-0.00161743	-0.00811768	0.00027466
7.100	-0.00109863	-0.00729370	0.00027466
7.125	-0.00146484	-0.01229858	0.00045776
7.150	-0.00421143	-0.01171875	0.00180054
7.175	-0.00369263	-0.01162720	0.00097656
7.200	-0.00259399	-0.00936890	0.00146484
7.225	-0.00192261	-0.00668335	0.00027466
7.250	-0.00195312	-0.00454712	0.00085449
7.275	-0.00143433	-0.00479126	0.00021362
7.300	-0.00177002	-0.00631714	0.00033569
7.325	-0.00198364	-0.00927734	0.00051880
7.350	-0.00106812	-0.01034546	0.00091553
7.375	-0.00225830	-0.01345825	0.00097656
7.400	-0.00399780	-0.01080322	0.00170898
7.425	-0.00354004	-0.01013184	0.00125122
7.450	-0.00231934	-0.00833130	0.00155640
7.475	-0.00204468	-0.00604248	0.00030518
7.500	-0.00183105	-0.00488281	0.00061035
7.525	-0.00152588	-0.00576782	0.00012207
7.550	-0.00180054	-0.00466919	0.00134277
7.575	-0.00112915	-0.00842285	0.00030518
7.600	-0.00289917	-0.01110840	0.00134277
7.625	-0.00347900	-0.01193237	0.00125122
